,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2025-02-28,236.95,242.09,230.2,241.84,56833360,226.9155514560546,244.39621452543588,203.4607854745642,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,218.27,220.73,223.75,221.53,223.85,,AAPL
2025-02-27,239.41,242.46,237.06,237.3,41153639,227.90454655547796,245.92383470835907,203.278165291641,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,218.27,220.73,223.75,221.53,,AAPL
2025-02-26,244.33,244.98,239.13,240.36,44433564,229.09078021686102,247.9306414804215,203.15435851957852,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,218.27,220.73,223.75,,AAPL
2025-02-25,248.0,250.0,244.91,247.04,48013272,230.80022972001711,251.04084223452472,202.37315776547533,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,218.27,220.73,,AAPL
2025-02-24,244.925,248.86,244.42,247.1,51326396,232.3525887943012,253.81014045042895,202.2408595495711,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,218.27,,AAPL
2025-02-21,245.95,248.69,245.22,245.55,53197431,233.60948509960582,255.87784856071033,202.90115143928966,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,214.1,,AAPL
2025-02-20,244.94,246.78,244.29,245.83,32316907,234.77334366154813,257.4093779429282,204.54262205707172,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,215.24,,AAPL
2025-02-19,244.66,246.01,243.1604,244.87,32204215,235.73492997949592,258.4957761778846,206.41922382211547,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,212.69,,AAPL
2025-02-18,244.15,245.18,241.84,244.47,48822491,236.56684141002012,258.8552796640837,209.23772033591626,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,214.0,,AAPL
2025-02-14,241.25,245.55,240.99,244.6,40896227,237.33190413287534,258.91025713650214,212.24274286349782,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,213.49,,AAPL
2025-02-13,236.91,242.3399,235.57,241.53,53614054,237.73172278688722,257.97736540794654,215.97963459205343,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,209.68,,AAPL
2025-02-12,231.2,236.96,230.68,236.87,45243292,237.64965395004083,254.95987854352782,221.7161214564721,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,216.98,,AAPL
2025-02-11,228.2,235.23,228.13,232.62,53718362,237.17063928813218,252.70531250245924,225.53468749754072,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,220.84,237.42440000000002,AAPL
2025-02-10,229.57,230.585,227.2,227.65,33115645,236.2639117368815,251.3525326711893,227.5684673288107,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,227.48,236.6972,AAPL
2025-02-07,232.6,234.0,227.26,227.63,39707224,235.44163442860707,251.32836584152187,227.60763415847816,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,239.07,236.1584,AAPL
2025-02-06,231.285,233.8,230.425,233.22,29925349,235.23005019731116,251.36127509790998,226.98972490208996,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,235.33,235.4496,AAPL
2025-02-05,228.53,232.67,228.27,232.47,39664989,234.9671882737577,251.472750251333,226.59224974866694,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,235.74,234.76720000000006,AAPL
2025-02-04,227.25,233.13,226.65,232.8,45067301,234.7607893905427,251.5568975052811,226.2141024947189,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,235.93,234.01360000000005,AAPL
2025-02-03,229.99,231.83,225.7,228.01,73063301,234.11785706763385,252.0159706954063,224.96302930459368,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,238.03,233.7064,AAPL
2025-01-31,247.19,247.19,233.44,236.0,101075128,234.29710877547825,251.95937948230147,224.81662051769854,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,241.84,233.20440000000002,AAPL
2025-01-30,238.665,240.79,237.21,237.59,55658279,234.61071746352795,251.65205660377453,224.69894339622547,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,237.3,232.78560000000004,AAPL
2025-01-29,234.12,239.855,234.01,239.36,45486100,235.06303008604908,251.75837080212963,224.79862919787033,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,240.36,232.48080000000004,AAPL
2025-01-28,230.85,240.19,230.81,238.26,75707569,235.36750341118724,251.6177713685637,224.72922863143634,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,247.04,232.40480000000002,AAPL
2025-01-27,224.02,232.15,223.98,229.86,94863418,234.84297927678847,250.5674789699882,224.06152103001182,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,247.1,232.432,AAPL
2025-01-24,224.78,225.63,221.41,222.78,54697907,233.6941241075705,250.01720725243365,222.1797927475663,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,245.55,232.7572,AAPL
2025-01-23,224.74,227.03,222.3,223.66,60234760,232.73849324018283,249.23255749614324,220.77544250385674,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,245.83,233.18680000000003,AAPL
2025-01-22,219.79,224.12,219.79,223.83,64126500,231.8900653125464,248.00963366363365,219.79836633636646,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,244.87,233.8348,AAPL
2025-01-21,224.0,224.42,219.38,222.64,98070429,231.0091067113515,246.762529386248,218.82247061375193,223.83,223.66,222.78,229.86,238.26,239.36,237.59,236.0,228.01,232.8,232.47,233.22,227.63,227.65,232.62,236.87,241.53,244.6,244.47,234.74639999999997,AAPL
