,Open,High,Low,Close,Volume,EMA,Bollinger_Upper,Bollinger_Lower,Close_Lag1,Close_Lag2,Close_Lag3,Close_Lag4,Close_Lag5,Close_Lag6,Close_Lag7,Close_Lag8,Close_Lag9,Close_Lag10,Close_Lag11,Close_Lag12,Close_Lag13,Close_Lag14,Close_Lag15,Close_Lag16,Close_Lag17,Close_Lag18,Close_Lag19,Trend,Stock_name
2025-03-18,387.07,387.37,381.1,383.52,19486850,384.4458833687437,405.26988877429824,357.7521112257018,388.7,388.56,378.77,383.27,380.45,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,,MSFT
2025-03-17,386.7,392.705,385.57,388.7,22474272,384.85103733362524,405.36733913850196,357.74366086149803,388.56,378.77,383.27,380.45,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,,MSFT
2025-03-14,379.775,390.23,379.51,388.56,19952846,385.20427187328,405.37959415180546,357.7424058481946,378.77,383.27,380.45,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,,MSFT
2025-03-13,383.155,385.32,377.45,378.77,20473017,384.5914840758247,405.28332952269113,357.5806704773088,383.27,380.45,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,,MSFT
2025-03-12,382.95,385.2165,378.9507,383.27,24253567,384.4656284495557,404.56089740292623,357.5811025970738,380.45,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,,MSFT
2025-03-11,379.0,386.0,376.91,380.45,30380177,384.08318764483613,402.2862402895628,362.4447597104372,380.16,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,,MSFT
2025-03-10,385.84,386.4,377.22,380.16,32569768,383.7095507262803,399.7961411555228,367.16485884447724,393.31,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,,MSFT
2025-03-07,392.32,394.8,385.54,393.31,22034087,384.6238792285393,397.687613584026,372.620386415974,396.89,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,409.75,,MSFT
2025-03-06,394.28,402.15,392.6777,396.89,23304625,385.7920812067736,398.5739858448466,374.1120141551534,401.02,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,409.75,415.82,,MSFT
2025-03-05,389.34,401.67,388.81,401.02,23433132,387.2423591870809,400.97919693263646,373.5948030673635,388.61,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,409.75,415.82,413.29,,MSFT
2025-03-04,383.4,392.58,381.0,388.61,29342923,387.3726106930732,401.09657075648215,374.11942924351786,388.49,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,409.75,415.82,413.29,412.37,,MSFT
2025-03-03,398.82,398.82,386.155,388.49,23007726,387.4790287223043,400.4642960485004,376.0617039514997,396.99,392.53,399.73,397.9,404.0,408.21,416.13,414.77,409.64,408.43,410.54,409.04,411.44,412.22,409.75,415.82,413.29,412.37,410.92,,MSFT
